id,category,user_query,selected_tool,selected_tool_arguments,expected_result,failure_mode,expected_score_min,expected_score_max,has_agent_history,agent_history,available_tools
ecommerce_0_turn0,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",get_categories,{},pass,,0.75,1.0,False,[],"[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_0_turn1,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",apply_coupon,"{""coupon_code"": ""VIP30""}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_0_turn2,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",get_products_by_category,"{""category"": ""womens-bags"", ""limit"": 1}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}, {""tool_name"": ""apply_coupon"", ""arguments"": {""coupon_code"": ""VIP30""}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_0_turn3,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",get_product_details,"{""product_id"": 172}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}, {""tool_name"": ""apply_coupon"", ""arguments"": {""coupon_code"": ""VIP30""}, ""result"": {""success"": true}}, {""tool_name"": ""get_products_by_category"", ""arguments"": {""category"": ""womens-bags"", ""limit"": 1}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_0_turn4,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",add_to_cart,"{""product_id"": 172, ""quantity"": 1}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}, {""tool_name"": ""apply_coupon"", ""arguments"": {""coupon_code"": ""VIP30""}, ""result"": {""success"": true}}, {""tool_name"": ""get_products_by_category"", ""arguments"": {""category"": ""womens-bags"", ""limit"": 1}, ""result"": {""success"": true}}, {""tool_name"": ""get_product_details"", ""arguments"": {""product_id"": 172}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_0_turn5,ecommerce_multi_turn,"I need a bag from womens-bags, show details, add to cart with VIP30, checkout",add_to_cart,"{""product_id"": 172, ""quantity"": 1}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}, {""tool_name"": ""apply_coupon"", ""arguments"": {""coupon_code"": ""VIP30""}, ""result"": {""success"": true}}, {""tool_name"": ""get_products_by_category"", ""arguments"": {""category"": ""womens-bags"", ""limit"": 1}, ""result"": {""success"": true}}, {""tool_name"": ""get_product_details"", ""arguments"": {""product_id"": 172}, ""result"": {""success"": true}}, {""tool_name"": ""add_to_cart"", ""arguments"": {""product_id"": 172, ""quantity"": 1}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_1_turn0,ecommerce_multi_turn,Browse womens-shoes and pick something for me,get_categories,{},pass,,0.75,1.0,False,[],"[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_1_turn1,ecommerce_multi_turn,Browse womens-shoes and pick something for me,get_products_by_category,"{""category"": ""womens-shoes"", ""limit"": 5}",pass,,0.75,1.0,True,"[{""tool_name"": ""get_categories"", ""arguments"": {}, ""result"": {""success"": true}}]","[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_2_turn0,ecommerce_multi_turn,Find a skincare product and show me the details,search_products,"{""query"": ""skincare"", ""limit"": 1}",pass,,0.75,1.0,False,[],"[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
ecommerce_3_turn0,ecommerce_multi_turn,Search for laptop,search_products,"{""query"": ""laptop"", ""limit"": 5}",pass,,0.75,1.0,False,[],"[{""name"": ""search_products"", ""description"": ""Search for products by keyword using DummyJSON API."", ""parameters"": {""type"": ""object"", ""properties"": {""query"": {""type"": ""string"", ""description"": ""Search keyword""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""query""]}}, {""name"": ""get_product_details"", ""description"": ""Get detailed information about a specific product."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""The unique ID of the product""}}, ""required"": [""product_id""]}}, {""name"": ""get_categories"", ""description"": ""Get all available product categories."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""get_products_by_category"", ""description"": ""Get products in a specific category."", ""parameters"": {""type"": ""object"", ""properties"": {""category"": {""type"": ""string"", ""description"": ""Category slug""}, ""limit"": {""type"": ""integer"", ""description"": ""Maximum results"", ""default"": 10}}, ""required"": [""category""]}}, {""name"": ""add_to_cart"", ""description"": ""Add a product to the shopping cart."", ""parameters"": {""type"": ""object"", ""properties"": {""product_id"": {""type"": ""integer"", ""description"": ""Product ID to add""}, ""quantity"": {""type"": ""integer"", ""description"": ""Quantity to add"", ""default"": 1}}, ""required"": [""product_id""]}}, {""name"": ""get_cart"", ""description"": ""Get the current shopping cart contents."", ""parameters"": {""type"": ""object"", ""properties"": {}, ""required"": []}}, {""name"": ""apply_coupon"", ""description"": ""Apply a discount coupon to the cart."", ""parameters"": {""type"": ""object"", ""properties"": {""coupon_code"": {""type"": ""string"", ""description"": ""Coupon code to apply""}}, ""required"": [""coupon_code""]}}, {""name"": ""checkout"", ""description"": ""Complete the purchase and checkout."", ""parameters"": {""type"": ""object"", ""properties"": {""payment_method"": {""type"": ""string"", ""description"": ""Payment method"", ""default"": ""credit_card""}}, ""required"": []}}]"
